nombre_sensor,fecha_hora,valor_medicion
HUM_SUELO_02,2026-05-31 14:00:00+00:00,48.08
HUM_SUELO_03,2026-05-31 14:00:00+00:00,51.44
HUM_SUELO_04,2026-05-31 14:00:00+00:00,54.52
LUZ,2026-05-31 14:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 14:00:00+00:00,33.85
TEMP_AMB_40CM,2026-05-31 14:00:00+00:00,34.65
TEMP_SUELO_01,2026-05-31 14:00:00+00:00,13.39
TEMP_SUELO_02,2026-05-31 14:00:00+00:00,14.06
HUM_AMB_2M,2026-05-31 13:00:00+00:00,75.45
HUM_AMB_40CM,2026-05-31 13:00:00+00:00,70.16
HUM_SUELO_01,2026-05-31 13:00:00+00:00,70.08
HUM_SUELO_02,2026-05-31 13:00:00+00:00,47.08
HUM_SUELO_03,2026-05-31 13:00:00+00:00,50.5
HUM_SUELO_04,2026-05-31 13:00:00+00:00,53.38
LUZ,2026-05-31 13:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 13:00:00+00:00,30.19
TEMP_AMB_40CM,2026-05-31 13:00:00+00:00,30.61
TEMP_SUELO_01,2026-05-31 13:00:00+00:00,12.39
TEMP_SUELO_02,2026-05-31 13:00:00+00:00,12.5
HUM_AMB_2M,2026-05-31 12:00:00+00:00,77.11
HUM_AMB_40CM,2026-05-31 12:00:00+00:00,74.24
HUM_SUELO_01,2026-05-31 12:00:00+00:00,68.12
HUM_SUELO_02,2026-05-31 12:00:00+00:00,45.72
HUM_SUELO_03,2026-05-31 12:00:00+00:00,48.76
HUM_SUELO_04,2026-05-31 12:00:00+00:00,52.24
LUZ,2026-05-31 12:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 12:00:00+00:00,28.23
TEMP_AMB_40CM,2026-05-31 12:00:00+00:00,28.31
TEMP_SUELO_01,2026-05-31 12:00:00+00:00,11.59
TEMP_SUELO_02,2026-05-31 12:00:00+00:00,11.04
HUM_AMB_2M,2026-05-31 11:00:00+00:00,85.62
HUM_AMB_40CM,2026-05-31 11:00:00+00:00,87.02
HUM_SUELO_01,2026-05-31 11:00:00+00:00,65.68
HUM_SUELO_02,2026-05-31 11:00:00+00:00,44.64
HUM_SUELO_03,2026-05-31 11:00:00+00:00,47.6
HUM_SUELO_04,2026-05-31 11:00:00+00:00,50.8
LUZ,2026-05-31 11:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 11:00:00+00:00,22.39
TEMP_AMB_40CM,2026-05-31 11:00:00+00:00,22.5
TEMP_SUELO_01,2026-05-31 11:00:00+00:00,11.1
TEMP_SUELO_02,2026-05-31 11:00:00+00:00,9.9
HUM_AMB_2M,2026-05-31 10:00:00+00:00,99.33
HUM_AMB_40CM,2026-05-31 10:00:00+00:00,94.77
HUM_SUELO_01,2026-05-31 10:00:00+00:00,64.6
HUM_SUELO_02,2026-05-31 10:00:00+00:00,44.56
HUM_SUELO_03,2026-05-31 10:00:00+00:00,47.76
HUM_SUELO_04,2026-05-31 10:00:00+00:00,51.0
LUZ,2026-05-31 10:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 10:00:00+00:00,14.29
TEMP_AMB_40CM,2026-05-31 10:00:00+00:00,14.75
TEMP_SUELO_01,2026-05-31 10:00:00+00:00,10.88
TEMP_SUELO_02,2026-05-31 10:00:00+00:00,9.23
HUM_AMB_2M,2026-05-31 09:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 09:00:00+00:00,98.47
HUM_SUELO_01,2026-05-31 09:00:00+00:00,63.68
HUM_SUELO_02,2026-05-31 09:00:00+00:00,44.48
HUM_SUELO_03,2026-05-31 09:00:00+00:00,47.64
HUM_SUELO_04,2026-05-31 09:00:00+00:00,50.52
LUZ,2026-05-31 09:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 09:00:00+00:00,7.8
TEMP_AMB_40CM,2026-05-31 09:00:00+00:00,8.2
TEMP_SUELO_01,2026-05-31 09:00:00+00:00,10.97
TEMP_SUELO_02,2026-05-31 09:00:00+00:00,9.0
HUM_AMB_2M,2026-05-31 08:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 08:00:00+00:00,97.97
HUM_SUELO_01,2026-05-31 08:00:00+00:00,63.72
HUM_SUELO_02,2026-05-31 08:00:00+00:00,44.68
HUM_SUELO_03,2026-05-31 08:00:00+00:00,47.88
HUM_SUELO_04,2026-05-31 08:00:00+00:00,50.48
LUZ,2026-05-31 08:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 08:00:00+00:00,4.64
TEMP_AMB_40CM,2026-05-31 08:00:00+00:00,4.9
TEMP_SUELO_01,2026-05-31 08:00:00+00:00,11.24
TEMP_SUELO_02,2026-05-31 08:00:00+00:00,9.16
HUM_AMB_2M,2026-05-31 07:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 07:00:00+00:00,97.74
HUM_SUELO_01,2026-05-31 07:00:00+00:00,64.0
HUM_SUELO_02,2026-05-31 07:00:00+00:00,44.88
HUM_SUELO_03,2026-05-31 07:00:00+00:00,48.0
HUM_SUELO_04,2026-05-31 07:00:00+00:00,50.84
LUZ,2026-05-31 07:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 07:00:00+00:00,4.66
TEMP_AMB_40CM,2026-05-31 07:00:00+00:00,4.89
TEMP_SUELO_01,2026-05-31 07:00:00+00:00,11.62
TEMP_SUELO_02,2026-05-31 07:00:00+00:00,9.5
HUM_AMB_2M,2026-05-31 06:00:00+00:00,100.0
